subject_id,split,psg_file,psg_sha256,hypnogram_file,hypnogram_sha256
00,development,SC4001E0-PSG.edf,2b40a18adf76af69a42d6db1f30f31d26b369f6d27ca0050ef30147ef892b131,SC4001EC-Hypnogram.edf,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996
01,development,SC4011E0-PSG.edf,9e4c34f3f631275990fd7a2d61a24e998c7b03eb9b37ebe5cd7c8323d8310a15,SC4011EH-Hypnogram.edf,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83
02,development,SC4021E0-PSG.edf,810adaedf42621e389ca767274045fbafb123bbc5d99bc15ce2c5bacb52e378c,SC4021EH-Hypnogram.edf,62b49b26bf08941cb0e974cfeeb0a820bf7dd43fb0c66dd89b4c3a6c0ee45dd8
03,development,SC4031E0-PSG.edf,ce2314a60dd6e1437f9cd720c2e59c23aabe471e4821f9544593109a9b0715dd,SC4031EC-Hypnogram.edf,7ec3d3c8d8f1a89d48df4cc85be374fbdf70d4b5ec5ec321c03d586dd2cc1617
04,development,SC4041E0-PSG.edf,28ae3a51cca93bb1502a2c613b4a84758d09feee042b925a09a7cdce0c1bf4f5,SC4041EC-Hypnogram.edf,da33d90216e031a6b04c9ebaddcdf7abc223f1e61fd5899093815c7aea65e39a
05,development,SC4051E0-PSG.edf,e460a9589726f19a1fe544fb79c46f82562229f19696e0c0fb5ffd9f959dab7c,SC4051EC-Hypnogram.edf,3551410c52b819efbe6297d333ee729e4f5c7ba11c0cae6d321feee79a39ed43
06,test,SC4061E0-PSG.edf,8a1c1d812f3207e006c8f1ae7b7a9d5625a8aaba09869aea42562ac61d1c984a,SC4061EC-Hypnogram.edf,a99705c2b75462acb6d422681526265e476f0b01708eee2e845d0d89b5aa1ae8
07,test,SC4071E0-PSG.edf,417081e551fb60e3a735059c5df4ee2cf320cb342c563e666cb2b3fde98f64e3,SC4071EC-Hypnogram.edf,f81cfe51fa83a91096e4ba0538168ada9f604e8cb5f9c40849ebdd22c1cfeafd
08,test,SC4081E0-PSG.edf,3210ff3851996b1d04fb879765ebb3de6012152fab6fcbb11896c7636068e6dc,SC4081EC-Hypnogram.edf,626b6c685079aa3d185f7af69098b973940733e0cbe9c5d7435495afafdcca2f
09,test,SC4091E0-PSG.edf,db5ac16a5438a0ff1e67dbf4c729e3b42ffc131c3e586370c8f8297591960476,SC4091EC-Hypnogram.edf,6200f80f2314fc7aefc05c1c7a745776d2631f20115d818b6dcecae663c590d9
10,test,SC4101E0-PSG.edf,90f0cb69b101e60f7ebc1d52216677a5aa420fbd2dce3909eaaca373d921a099,SC4101EC-Hypnogram.edf,1dc87ff1ee449fd66c3254df2073a66c4e1e902ec11143434a82db30eb1622d7
11,test,SC4111E0-PSG.edf,6bb1ba9fdf0bfab05aeba98edded640ce65a05d286115ceadb38dd8d4dfae0b8,SC4111EC-Hypnogram.edf,da132682072ae2998ef82d3737a3220685e2483b90cf7042ae819cce675cd6d6
