relative_path,channel_index,channel_name,mne_channel_type,name_inferred_channel_type
Data/PSG/s_00/c_00/morningnap_singlepart.edf,0,Fp1,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,1,Fz,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,2,F3,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,3,F7,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,4,EMG_wrist_left,eeg,emg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,5,FC5,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,6,FC1,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,7,C3,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,8,EOG_left,eeg,eog
Data/PSG/s_00/c_00/morningnap_singlepart.edf,9,EOG_right,eeg,eog
Data/PSG/s_00/c_00/morningnap_singlepart.edf,10,EMG_left,eeg,emg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,11,EMG_right,eeg,emg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,12,Pz,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,13,P3,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,14,P7,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,15,O1,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,16,Oz,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,17,O2,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,18,P4,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,19,P8,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,20,EMG_wrist_right,eeg,emg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,21,CP6,eeg,eeg
Data/PSG/s_00/c_00/morningnap_singlepart.edf,22,CP2,eeg,eeg
