sample_rate_hz,recording_samples,rem_samples,boundary_eroded_rem_samples,nonfinite_samples,flatline_samples,nonfinite_boundary_eroded_rem_samples,flatline_boundary_eroded_rem_samples,invalid_boundary_eroded_rem_samples,eligible_rem_samples,recording_seconds,rem_seconds,boundary_eroded_rem_seconds,eligible_rem_seconds,eligible_rem_hours,subject_id,record_id,cohort,condition,signal_file,recording_hours
100.0,8358000,774000,770800,0,0,0,0,0,770800,83580.0,7740.0,7708.0,7708.0,2.141111111111111,SC12,SC4121E0,sleep_edf_sc_confirmatory,spontaneous,SC4121E0-PSG.edf,23.216666666666665
100.0,7818000,597000,595000,0,0,0,0,0,595000,78180.0,5970.0,5950.0,5950.0,1.6527777777777777,SC12,SC4122E0,sleep_edf_sc_confirmatory,spontaneous,SC4122E0-PSG.edf,21.716666666666665
100.0,8442000,516000,511200,0,0,0,0,0,511200,84420.0,5160.0,5112.0,5112.0,1.42,SC13,SC4131E0,sleep_edf_sc_confirmatory,spontaneous,SC4131E0-PSG.edf,23.45
100.0,8268000,699000,696200,0,0,0,0,0,696200,82680.0,6990.0,6962.0,6962.0,1.933888888888889,SC14,SC4141E0,sleep_edf_sc_confirmatory,spontaneous,SC4141E0-PSG.edf,22.966666666666665
100.0,8322000,639000,635800,0,0,0,0,0,635800,83220.0,6390.0,6358.0,6358.0,1.7661111111111112,SC14,SC4142E0,sleep_edf_sc_confirmatory,spontaneous,SC4142E0-PSG.edf,23.116666666666667
100.0,7860000,624000,622400,0,0,0,0,0,622400,78600.0,6240.0,6224.0,6224.0,1.728888888888889,SC15,SC4151E0,sleep_edf_sc_confirmatory,spontaneous,SC4151E0-PSG.edf,21.833333333333332
100.0,8592000,876000,872800,0,0,0,0,0,872800,85920.0,8760.0,8728.0,8728.0,2.4244444444444446,SC15,SC4152E0,sleep_edf_sc_confirmatory,spontaneous,SC4152E0-PSG.edf,23.866666666666667
100.0,7878000,780000,776800,0,0,0,0,0,776800,78780.0,7800.0,7768.0,7768.0,2.1577777777777776,SC16,SC4161E0,sleep_edf_sc_confirmatory,spontaneous,SC4161E0-PSG.edf,21.883333333333333
100.0,8256000,585000,582600,0,0,0,0,0,582600,82560.0,5850.0,5826.0,5826.0,1.6183333333333334,SC16,SC4162E0,sleep_edf_sc_confirmatory,spontaneous,SC4162E0-PSG.edf,22.933333333333334
100.0,8226000,786000,782000,0,0,0,0,0,782000,82260.0,7860.0,7820.0,7820.0,2.172222222222222,SC17,SC4171E0,sleep_edf_sc_confirmatory,spontaneous,SC4171E0-PSG.edf,22.85
