sample_rate_hz,recording_samples,rem_samples,boundary_eroded_rem_samples,nonfinite_samples,flatline_samples,nonfinite_boundary_eroded_rem_samples,flatline_boundary_eroded_rem_samples,invalid_boundary_eroded_rem_samples,eligible_rem_samples,recording_seconds,rem_seconds,boundary_eroded_rem_seconds,eligible_rem_seconds,eligible_rem_hours,subject_id,record_id,cohort,condition,signal_file,recording_hours
100.0,3590000,366000,362000,0,315856,0,0,0,362000,35900.0,3660.0,3620.0,3620.0,1.0055555555555555,ST01,ST7011J0,sleep_edf_st_placebo,placebo,ST7011J0-PSG.edf,9.972222222222221
100.0,3076000,477000,473000,0,251648,0,0,0,473000,30760.0,4770.0,4730.0,4730.0,1.3138888888888889,ST02,ST7022J0,sleep_edf_st_placebo,placebo,ST7022J0-PSG.edf,8.544444444444444
100.0,3116000,654000,651200,0,61574,0,0,0,651200,31160.0,6540.0,6512.0,6512.0,1.808888888888889,ST04,ST7041J0,sleep_edf_st_placebo,placebo,ST7041J0-PSG.edf,8.655555555555555
100.0,3283000,678000,674800,0,200773,0,0,0,674800,32830.0,6780.0,6748.0,6748.0,1.8744444444444444,ST05,ST7052J0,sleep_edf_st_placebo,placebo,ST7052J0-PSG.edf,9.119444444444444
100.0,3257000,813000,809800,0,88216,0,0,0,809800,32570.0,8130.0,8098.0,8098.0,2.2494444444444444,ST06,ST7061J0,sleep_edf_st_placebo,placebo,ST7061J0-PSG.edf,9.047222222222222
100.0,2746000,204000,199200,0,302385,0,0,0,199200,27460.0,2040.0,1992.0,1992.0,0.5533333333333333,ST07,ST7071J0,sleep_edf_st_placebo,placebo,ST7071J0-PSG.edf,7.627777777777778
100.0,2853000,333000,331400,0,67528,0,0,0,331400,28530.0,3330.0,3314.0,3314.0,0.9205555555555556,ST08,ST7082J0,sleep_edf_st_placebo,placebo,ST7082J0-PSG.edf,7.925
100.0,2887000,480000,477600,0,118606,0,0,0,477600,28870.0,4800.0,4776.0,4776.0,1.3266666666666667,ST09,ST7092J0,sleep_edf_st_placebo,placebo,ST7092J0-PSG.edf,8.019444444444444
100.0,3296000,693000,689800,0,149953,0,0,0,689800,32960.0,6930.0,6898.0,6898.0,1.916111111111111,ST10,ST7101J0,sleep_edf_st_placebo,placebo,ST7101J0-PSG.edf,9.155555555555555
100.0,3067000,879000,876600,0,108168,0,0,0,876600,30670.0,8790.0,8766.0,8766.0,2.435,ST11,ST7112J0,sleep_edf_st_placebo,placebo,ST7112J0-PSG.edf,8.519444444444444
100.0,3120000,801000,799000,0,12118,0,0,0,799000,31200.0,8010.0,7990.0,7990.0,2.2194444444444446,ST12,ST7121J0,sleep_edf_st_placebo,placebo,ST7121J0-PSG.edf,8.666666666666666
100.0,2698000,648000,644800,0,142970,0,0,0,644800,26980.0,6480.0,6448.0,6448.0,1.791111111111111,ST13,ST7132J0,sleep_edf_st_placebo,placebo,ST7132J0-PSG.edf,7.4944444444444445
100.0,2761000,624000,622800,0,175569,0,0,0,622800,27610.0,6240.0,6228.0,6228.0,1.73,ST14,ST7141J0,sleep_edf_st_placebo,placebo,ST7141J0-PSG.edf,7.669444444444444
100.0,3851000,429000,425400,0,917411,0,0,0,425400,38510.0,4290.0,4254.0,4254.0,1.1816666666666666,ST15,ST7151J0,sleep_edf_st_placebo,placebo,ST7151J0-PSG.edf,10.697222222222223
100.0,3004000,240000,239200,0,42262,0,0,0,239200,30040.0,2400.0,2392.0,2392.0,0.6644444444444444,ST16,ST7162J0,sleep_edf_st_placebo,placebo,ST7162J0-PSG.edf,8.344444444444445
100.0,2893000,387000,382600,0,14672,0,0,0,382600,28930.0,3870.0,3826.0,3826.0,1.0627777777777778,ST17,ST7171J0,sleep_edf_st_placebo,placebo,ST7171J0-PSG.edf,8.036111111111111
100.0,3394000,753000,751400,0,477113,0,0,0,751400,33940.0,7530.0,7514.0,7514.0,2.087222222222222,ST18,ST7182J0,sleep_edf_st_placebo,placebo,ST7182J0-PSG.edf,9.427777777777777
100.0,3290000,696000,693600,0,496580,0,0,0,693600,32900.0,6960.0,6936.0,6936.0,1.9266666666666667,ST19,ST7192J0,sleep_edf_st_placebo,placebo,ST7192J0-PSG.edf,9.13888888888889
100.0,2912000,402000,398400,0,5438,0,0,0,398400,29120.0,4020.0,3984.0,3984.0,1.1066666666666667,ST20,ST7201J0,sleep_edf_st_placebo,placebo,ST7201J0-PSG.edf,8.088888888888889
100.0,3162000,432000,428800,0,133706,0,0,0,428800,31620.0,4320.0,4288.0,4288.0,1.191111111111111,ST21,ST7212J0,sleep_edf_st_placebo,placebo,ST7212J0-PSG.edf,8.783333333333333
100.0,3296000,693000,687000,0,212949,0,0,0,687000,32960.0,6930.0,6870.0,6870.0,1.9083333333333334,ST22,ST7221J0,sleep_edf_st_placebo,placebo,ST7221J0-PSG.edf,9.155555555555555
100.0,3261000,711000,707000,0,109039,0,0,0,707000,32610.0,7110.0,7070.0,7070.0,1.9638888888888888,ST24,ST7241J0,sleep_edf_st_placebo,placebo,ST7241J0-PSG.edf,9.058333333333334
