subject_id,code_id,anchor_index,anchor_seconds,amplitude_mad,interval_jitter_fraction,local_mad_uv,injection_samples,maximum_matched_score,detected_start_seconds,detected_time_scale,engineering_check_only
00,legacy_lrl,0,35974.0,2.0,0.05,11.938637719749703,292,0.9311873187273787,35974.0,0.9,True
00,legacy_lrl,1,36161.0,2.0,0.05,11.922851731071749,339,0.938768773985629,36161.1,1.1,True
00,legacy_lrl,2,36503.0,2.0,0.05,12.388681105590852,330,0.8086718835262482,36502.8,0.8,True
00,legacy_lrl,3,36666.0,2.0,0.05,11.698738615375738,338,0.936304190643705,36665.9,1.2,True
00,legacy_lrl,4,36761.0,2.0,0.05,11.259069100019413,345,0.9438995099787996,36761.1,1.1,True
00,legacy_lrl,5,40723.0,2.0,0.05,13.46579601702394,314,0.8907011735682705,40723.05,1.0,True
00,legacy_lrl,6,40856.0,2.0,0.05,12.91458021355867,281,0.0,,,True
00,legacy_lrl,7,41245.0,2.0,0.05,15.970776229792286,341,0.0,,,True
00,legacy_lrl,8,44858.0,2.0,0.05,11.569493414272404,340,0.8910637625843807,44858.05,1.1,True
00,legacy_lrl,9,44934.0,2.0,0.05,11.719414050995866,340,0.8903914803183229,44934.05,1.1,True
00,legacy_lrl,10,45112.0,2.0,0.05,13.330942855271076,330,0.794597180161752,45112.0,1.1,True
00,legacy_lrl,11,45255.0,2.0,0.05,13.114906588582263,280,0.802139671982388,45254.95,0.9,True
00,legacy_lrl,12,45358.0,2.0,0.05,12.548496836524686,296,0.924844811023203,45357.95,1.0,True
00,legacy_lrl,13,49392.0,2.0,0.05,35.153742216743375,322,0.0,,,True
00,legacy_lrl,14,49549.0,2.0,0.05,39.55518922492411,285,0.8017474331264377,49549.55,1.1,True
00,legacy_lrl,15,49701.0,2.0,0.05,34.58114620023325,291,0.8257150675135697,49700.25,1.0,True
00,legacy_lrl,16,49891.0,2.0,0.05,56.53198849345993,313,0.9071600112954492,49890.9,1.1,True
00,legacy_lrl,17,49977.0,2.0,0.05,55.89001828743722,346,0.933403494061621,49976.95,1.2,True
00,legacy_lrl,18,50144.0,2.0,0.05,44.69828576602639,322,0.900139253136148,50143.25,1.1,True
00,legacy_lrl,19,50401.0,2.0,0.05,19.993462513637915,326,0.940723231106131,50401.0,1.1,True
00,legacy_lrl,0,35974.0,4.0,0.05,11.938637719749703,308,0.9748616722066543,35974.0,1.0,True
00,legacy_lrl,1,36161.0,4.0,0.05,11.922851731071749,302,0.9556471303462954,36161.0,1.0,True
00,legacy_lrl,2,36503.0,4.0,0.05,12.388681105590852,303,0.8931705552272334,36503.1,0.9,True
00,legacy_lrl,3,36666.0,4.0,0.05,11.698738615375738,297,0.9816505738149686,36665.95,1.0,True
00,legacy_lrl,4,36761.0,4.0,0.05,11.259069100019413,329,0.980311981020359,36761.0,1.1,True
00,legacy_lrl,5,40723.0,4.0,0.05,13.46579601702394,338,0.9504429078192593,40723.05,1.1,True
00,legacy_lrl,6,40856.0,4.0,0.05,12.91458021355867,331,0.0,,,True
00,legacy_lrl,7,41245.0,4.0,0.05,15.970776229792286,340,0.746810820510769,41245.05,1.1,True
00,legacy_lrl,8,44858.0,4.0,0.05,11.569493414272404,285,0.9307528064440208,44858.0,0.9,True
00,legacy_lrl,9,44934.0,4.0,0.05,11.719414050995866,321,0.961176923438514,44933.95,1.1,True
00,legacy_lrl,10,45112.0,4.0,0.05,13.330942855271076,339,0.9066847734262334,45112.05,1.1,True
00,legacy_lrl,11,45255.0,4.0,0.05,13.114906588582263,319,0.9001107335638214,45254.9,1.1,True
00,legacy_lrl,12,45358.0,4.0,0.05,12.548496836524686,326,0.9663030341640785,45358.0,1.1,True
00,legacy_lrl,13,49392.0,4.0,0.05,35.153742216743375,315,0.9391705836467568,49392.05,1.0,True
00,legacy_lrl,14,49549.0,4.0,0.05,39.55518922492411,344,0.8649900050435816,49549.0,1.2,True
00,legacy_lrl,15,49701.0,4.0,0.05,34.58114620023325,321,0.0,,,True
00,legacy_lrl,16,49891.0,4.0,0.05,56.53198849345993,306,0.9742722679795618,49891.0,1.0,True
00,legacy_lrl,17,49977.0,4.0,0.05,55.89001828743722,321,0.974715510515705,49977.0,1.1,True
00,legacy_lrl,18,50144.0,4.0,0.05,44.69828576602639,283,0.9509834376870081,50143.95,0.9,True
00,legacy_lrl,19,50401.0,4.0,0.05,19.993462513637915,301,0.9731719808329213,50401.0,1.0,True
00,legacy_lrl,0,35974.0,6.0,0.05,11.938637719749703,296,0.9754357045556844,35973.95,1.0,True
00,legacy_lrl,1,36161.0,6.0,0.05,11.922851731071749,302,0.9808764694634422,36161.0,1.0,True
